id_ligne,id_commande,id_client,id_produit,date_commande,ventes,Délai_Livraison,id_lieu
78,US-2018-118038,KB-16600,OFF-ST-10000615,2018-12-09,27,2,17
79,US-2015-147606,JE-15745,FUR-FU-10003194,2015-11-26,19,5,33
80,CA-2017-127208,SC-20770,OFF-AP-10002118,2017-06-12,208,3,34
81,CA-2017-127208,SC-20770,OFF-BI-10002309,2017-06-12,16,3,34
82,CA-2015-139451,DN-13690,OFF-AR-10002053,2015-10-12,14,4,35
83,CA-2015-139451,DN-13690,OFF-ST-10002370,2015-10-12,21,4,35
84,CA-2016-149734,JC-16105,OFF-EN-10000927,2016-09-03,200,5,36
85,US-2018-119662,CS-12400,OFF-ST-10003656,2018-11-13,230,3,37
86,CA-2018-140088,PO-18865,FUR-CH-10000863,2018-05-28,301,2,38
87,CA-2018-155558,PG-18895,TEC-AC-10001998,2018-10-26,19,7,39
88,CA-2018-155558,PG-18895,OFF-LA-10000134,2018-10-26,6,7,39
89,CA-2017-159695,GM-14455,OFF-ST-10003442,2017-04-05,158,5,15
90,CA-2017-109806,JS-15685,OFF-AR-10004930,2017-09-17,20,5,2
91,CA-2017-109806,JS-15685,TEC-PH-10004093,2017-09-17,73,5,2
92,CA-2017-109806,JS-15685,OFF-PA-10000304,2017-09-17,6,5,2
93,CA-2016-149587,KB-16315,OFF-PA-10003177,2016-01-31,12,5,40
94,CA-2016-149587,KB-16315,FUR-FU-10003799,2016-01-31,53,5,40
95,CA-2016-149587,KB-16315,OFF-BI-10002852,2016-01-31,32,5,40
96,US-2018-109484,RB-19705,OFF-BI-10004738,2018-11-06,5,6,41
97,CA-2018-161018,PN-18775,FUR-FU-10000629,2018-11-09,96,2,30
98,CA-2018-157833,KD-16345,OFF-BI-10001721,2018-06-17,51,3,35
99,CA-2017-149223,ER-13855,OFF-AP-10000358,2017-09-06,77,5,42
100,CA-2017-158568,RB-19465,OFF-PA-10003256,2017-08-29,64,4,27
101,CA-2017-158568,RB-19465,TEC-AC-10001767,2017-08-29,95,4,27
102,CA-2017-158568,RB-19465,OFF-BI-10002609,2017-08-29,1,4,27
103,CA-2017-129903,GZ-14470,OFF-PA-10004040,2017-12-01,23,3,39
104,US-2016-156867,LC-16870,TEC-AC-10001552,2016-11-13,238,4,43
105,US-2016-156867,LC-16870,FUR-FU-10004006,2016-11-13,102,4,43
106,US-2016-156867,LC-16870,OFF-BI-10002794,2016-11-13,36,4,43
107,CA-2018-119004,JM-15250,TEC-AC-10003499,2018-11-23,74,5,44
108,CA-2018-119004,JM-15250,TEC-PH-10002844,2018-11-23,27,5,44
109,CA-2018-119004,JM-15250,OFF-AR-10000390,2018-11-23,3,5,44
110,CA-2016-129476,PA-19060,TEC-AC-10000844,2016-10-15,339,5,45
111,CA-2018-146780,CV-12805,FUR-FU-10001934,2018-12-25,41,5,46
112,CA-2017-128867,CL-12565,OFF-AR-10000380,2017-11-03,75,7,47
113,CA-2017-128867,CL-12565,OFF-BI-10003981,2017-11-03,27,7,47
114,CA-2015-115259,RC-19960,OFF-FA-10000621,2015-08-25,40,2,48
115,CA-2015-115259,RC-19960,OFF-EN-10002600,2015-08-25,4,2,48
116,CA-2015-115259,RC-19960,OFF-PA-10004965,2015-08-25,23,2,48
117,CA-2015-115259,RC-19960,OFF-EN-10002504,2015-08-25,130,2,48
118,CA-2016-110457,DK-13090,FUR-TA-10001768,2016-03-02,787,4,6
119,US-2016-136476,GG-14650,OFF-BI-10003650,2016-04-05,157,5,49
120,CA-2017-103730,SC-20725,FUR-FU-10002157,2017-06-12,47,3,50
121,CA-2017-103730,SC-20725,OFF-BI-10003910,2017-06-12,30,3,50
122,CA-2017-103730,SC-20725,OFF-ST-10000777,2017-06-12,226,3,50
123,CA-2017-103730,SC-20725,OFF-EN-10002500,2017-06-12,115,3,50
124,CA-2017-103730,SC-20725,TEC-PH-10003875,2017-06-12,68,3,50
125,US-2015-152030,AD-10180,FUR-CH-10004063,2015-12-26,600,2,17
126,US-2015-134614,PF-19165,FUR-TA-10004534,2015-09-20,617,5,51
127,US-2018-107272,TS-21610,OFF-BI-10003274,2018-11-05,2,7,52
128,US-2018-107272,TS-21610,OFF-ST-10002974,2018-11-05,243,7,52
129,US-2017-125969,LS-16975,FUR-CH-10001146,2017-11-06,81,4,26
130,US-2017-125969,LS-16975,FUR-FU-10003773,2017-11-06,238,4,26
131,US-2018-164147,DW-13585,TEC-PH-10002293,2018-02-02,59,3,48
132,US-2018-164147,DW-13585,OFF-PA-10002377,2018-02-02,78,3,48
133,US-2018-164147,DW-13585,OFF-FA-10002780,2018-02-02,21,3,48
134,CA-2017-145583,LC-16885,OFF-PA-10001804,2017-10-13,20,6,53
135,CA-2017-145583,LC-16885,OFF-PA-10001736,2017-10-13,35,6,53
136,CA-2017-145583,LC-16885,OFF-AR-10001149,2017-10-13,11,6,53
137,CA-2017-145583,LC-16885,OFF-FA-10002988,2017-10-13,4,6,53
138,CA-2017-145583,LC-16885,OFF-BI-10004781,2017-10-13,76,6,53
139,CA-2017-145583,LC-16885,OFF-SU-10001218,2017-10-13,65,6,53
140,CA-2017-145583,LC-16885,FUR-FU-10001706,2017-10-13,43,6,53
141,CA-2017-110366,JD-15895,FUR-FU-10004848,2017-09-05,82,2,12
142,CA-2018-106180,SH-19975,OFF-AR-10000940,2018-09-18,8,5,35
143,CA-2018-106180,SH-19975,OFF-EN-10004030,2018-09-18,10,5,35
144,CA-2018-106180,SH-19975,OFF-PA-10004327,2018-09-18,143,5,35
145,CA-2018-155376,SG-20080,OFF-AP-10001058,2018-12-22,839,5,54
146,CA-2016-110744,HA-14920,OFF-ST-10003656,2016-09-07,671,5,55
147,CA-2015-110072,MG-17680,FUR-FU-10000521,2015-10-22,93,6,56
148,CA-2017-114489,JE-16165,TEC-PH-10000215,2017-12-05,384,4,57
149,CA-2017-114489,JE-16165,TEC-PH-10001448,2017-12-05,149,4,57
150,CA-2017-114489,JE-16165,FUR-CH-10000454,2017-12-05,1951,4,57
151,CA-2017-114489,JE-16165,OFF-BI-10002735,2017-12-05,171,4,57
152,CA-2017-158834,TW-21025,OFF-AP-10000326,2017-03-13,157,3,58
153,CA-2017-158834,TW-21025,TEC-PH-10001254,2017-03-13,203,3,58
154,CA-2016-124919,SP-20650,OFF-PA-10001950,2016-05-31,58,2,59
155,CA-2016-124919,SP-20650,OFF-PA-10002254,2016-05-31,105,2,59
156,CA-2016-124919,SP-20650,OFF-ST-10001590,2016-05-31,80,2,59
157,CA-2016-118948,NK-18490,OFF-AR-10001547,2016-05-28,6,6,60
158,CA-2015-104269,DB-13060,FUR-CH-10004063,2015-03-01,457,5,61
159,CA-2017-114104,NP-18670,OFF-LA-10002475,2017-11-20,14,4,62
160,CA-2017-114104,NP-18670,TEC-PH-10004536,2017-11-20,944,4,62
161,CA-2017-162733,TT-21070,OFF-PA-10002751,2017-05-11,5,1,63
162,CA-2016-119697,EM-13960,TEC-AC-10003657,2016-12-28,54,3,64
163,CA-2017-154508,RD-19900,OFF-EN-10001990,2017-11-16,28,4,65
164,CA-2017-113817,MJ-17740,OFF-BI-10004002,2017-11-07,27,4,61
165,CA-2015-139892,BM-11140,OFF-AR-10004441,2015-09-08,9,4,66
166,CA-2015-139892,BM-11140,TEC-MA-10000822,2015-09-08,8159,4,66
167,CA-2015-139892,BM-11140,OFF-ST-10000991,2015-09-08,275,4,66
168,CA-2015-139892,BM-11140,FUR-CH-10004287,2015-09-08,1740,4,66
169,CA-2015-139892,BM-11140,OFF-AR-10002656,2015-09-08,32,4,66
170,CA-2015-139892,BM-11140,OFF-AP-10002518,2015-09-08,177,4,66
171,CA-2015-139892,BM-11140,TEC-PH-10003931,2015-09-08,143,4,66
172,CA-2015-118962,CS-12130,OFF-PA-10000659,2015-08-05,20,4,26
173,CA-2015-118962,CS-12130,OFF-PA-10001144,2015-08-05,110,4,26
174,CA-2015-118962,CS-12130,FUR-CH-10003817,2015-08-05,340,4,26
175,US-2015-100853,JB-15400,OFF-AP-10000891,2015-09-14,52,5,37
176,US-2015-100853,JB-15400,OFF-LA-10003148,2015-09-14,20,5,37
177,US-2018-152366,SJ-20500,OFF-AP-10002684,2018-04-21,97,4,67
178,US-2016-101511,JE-15745,FUR-CH-10004698,2016-11-21,396,2,56
179,US-2016-101511,JE-15745,OFF-SU-10002189,2016-11-21,15,2,56
180,CA-2016-137225,JK-15640,OFF-AR-10001940,2016-12-15,3,4,30
181,CA-2015-166191,DK-13150,OFF-ST-10003455,2015-12-05,24,4,68
182,CA-2015-166191,DK-13150,TEC-AC-10004659,2015-12-05,408,4,68
183,CA-2015-158274,RM-19675,TEC-PH-10003273,2015-11-19,503,5,69
184,CA-2015-158274,RM-19675,TEC-PH-10004896,2015-11-19,149,5,69
185,CA-2015-158274,RM-19675,TEC-AC-10002345,2015-11-19,29,5,69
186,CA-2017-105018,SK-19990,OFF-BI-10001890,2017-11-28,7,4,70
187,CA-2015-123260,FM-14290,TEC-AC-10002323,2015-08-26,176,4,4
188,CA-2017-157000,AM-10360,OFF-ST-10001328,2017-07-16,37,6,71
189,CA-2017-157000,AM-10360,OFF-PA-10001950,2017-07-16,20,6,71
190,CA-2016-102281,MP-17470,FUR-BO-10002613,2016-10-12,899,2,46
191,CA-2016-102281,MP-17470,TEC-PH-10001552,2016-10-12,71,2,46
192,CA-2016-102281,MP-17470,OFF-PA-10000061,2016-10-12,51,2,46
193,CA-2016-102281,MP-17470,FUR-BO-10002545,2016-10-12,626,2,46
194,CA-2016-102281,MP-17470,OFF-AR-10003514,2016-10-12,19,2,46
195,CA-2016-131457,MZ-17515,OFF-EN-10001509,2016-10-31,14,6,72
196,CA-2015-140004,CB-12025,OFF-AR-10004685,2015-03-21,7,4,73
197,CA-2015-140004,CB-12025,OFF-AR-10004027,2015-03-21,6,4,73
198,CA-2018-107720,VM-21685,OFF-ST-10001414,2018-11-06,46,7,74
199,US-2018-124303,FH-14365,OFF-BI-10000343,2018-07-06,2,7,75
200,US-2018-124303,FH-14365,OFF-PA-10002749,2018-07-06,16,7,75
201,CA-2018-105074,MB-17305,OFF-PA-10002666,2018-06-24,21,5,76
202,CA-2015-133690,BS-11755,FUR-TA-10004289,2015-08-03,218,2,77
203,CA-2015-133690,BS-11755,OFF-AP-10003622,2015-08-03,2,2,77
204,US-2018-116701,LC-17140,OFF-AP-10003217,2018-12-17,66,4,78
205,CA-2018-126382,HK-14890,FUR-FU-10002960,2018-06-03,35,4,79
206,CA-2018-108329,LE-16810,TEC-PH-10001918,2018-12-09,444,5,80
207,CA-2018-135860,JH-15985,OFF-ST-10000642,2018-12-01,83,6,81
208,CA-2018-135860,JH-15985,TEC-PH-10001700,2018-12-01,131,6,81
209,CA-2018-135860,JH-15985,OFF-BI-10003274,2018-12-01,15,6,81
210,CA-2018-135860,JH-15985,OFF-FA-10000134,2018-12-01,52,6,81
211,CA-2018-135860,JH-15985,OFF-ST-10001522,2018-12-01,91,6,81
212,CA-2016-101007,MS-17980,TEC-AC-10001266,2016-02-09,20,4,78
213,CA-2016-146262,VW-21775,OFF-LA-10004544,2016-01-02,23,7,82
214,CA-2016-146262,VW-21775,FUR-BO-10004695,2016-01-02,452,7,82
215,CA-2016-146262,VW-21775,TEC-PH-10002844,2016-01-02,62,7,82
216,CA-2016-146262,VW-21775,TEC-MA-10000864,2016-01-02,1188,7,82
217,CA-2016-146262,VW-21775,TEC-AC-10000109,2016-01-02,89,7,82
218,CA-2017-130162,JH-15910,OFF-ST-10001328,2017-10-28,93,4,4
219,CA-2017-130162,JH-15910,TEC-PH-10002563,2017-10-28,302,4,4
220,CA-2016-169397,JB-15925,OFF-FA-10000585,2016-12-24,5,3,83
221,CA-2016-169397,JB-15925,OFF-PA-10004000,2016-12-24,22,3,83
222,CA-2016-169397,JB-15925,OFF-BI-10002852,2016-12-24,19,3,83
223,CA-2016-169397,JB-15925,FUR-FU-10000087,2016-12-24,72,3,83
224,CA-2016-169397,JB-15925,TEC-MA-10001148,2016-12-24,479,3,83
225,CA-2016-169397,JB-15925,OFF-AR-10001958,2016-12-24,27,3,83
226,CA-2016-163055,DS-13180,OFF-AR-10001026,2016-08-09,2,7,84
227,CA-2016-163055,DS-13180,FUR-TA-10003748,2016-08-09,622,7,84
228,CA-2016-163055,DS-13180,OFF-ST-10002485,2016-08-09,21,7,84
229,US-2016-145436,VD-21670,FUR-CH-10004860,2016-02-28,161,5,85
230,US-2016-145436,VD-21670,FUR-CH-10004477,2016-02-28,389,5,85
231,US-2015-156216,EA-14035,OFF-BI-10001679,2015-09-13,18,4,44
232,US-2018-100930,CS-12400,FUR-TA-10001705,2018-04-07,233,5,86
233,US-2018-100930,CS-12400,FUR-TA-10003473,2018-04-07,620,5,86
234,US-2018-100930,CS-12400,OFF-BI-10001679,2018-04-07,5,5,86
235,US-2018-100930,CS-12400,FUR-FU-10004017,2018-04-07,258,5,86
236,US-2018-100930,CS-12400,TEC-AC-10003832,2018-04-07,617,5,86
237,CA-2018-160514,DB-13120,OFF-PA-10002479,2018-11-12,10,4,87
238,CA-2017-157749,KL-16645,OFF-PA-10003349,2017-06-04,25,5,27
239,CA-2017-157749,KL-16645,FUR-FU-10000576,2017-06-04,419,5,27
240,CA-2017-157749,KL-16645,FUR-FU-10004351,2017-06-04,11,5,27
241,CA-2017-157749,KL-16645,TEC-PH-10000011,2017-06-04,31,5,27
242,CA-2017-157749,KL-16645,FUR-TA-10002607,2017-06-04,177,5,27
243,CA-2017-157749,KL-16645,FUR-FU-10002505,2017-06-04,4,5,27
244,CA-2017-157749,KL-16645,OFF-AR-10004685,2017-06-04,7,5,27
245,CA-2015-131926,DW-13480,FUR-CH-10004063,2015-06-01,2001,5,88
246,CA-2015-131926,DW-13480,OFF-ST-10002276,2015-06-01,166,5,88
247,CA-2015-131926,DW-13480,OFF-PA-10004082,2015-06-01,47,5,88
248,CA-2015-131926,DW-13480,OFF-AP-10002945,2015-06-01,1503,5,88
249,CA-2015-131926,DW-13480,OFF-PA-10000061,2015-06-01,25,5,88
250,CA-2017-154739,LH-17155,FUR-CH-10002965,2017-12-10,321,5,10
251,CA-2017-145625,KC-16540,OFF-PA-10004569,2017-09-11,7,6,89
252,CA-2017-145625,KC-16540,TEC-AC-10003832,2017-09-11,3347,6,89
253,CA-2017-146941,DL-13315,OFF-ST-10001228,2017-12-10,80,3,24
254,CA-2017-146941,DL-13315,OFF-EN-10003296,2017-12-10,361,3,24
255,US-2016-159982,DR-12880,FUR-FU-10002505,2016-11-28,12,6,37
256,US-2016-159982,DR-12880,OFF-ST-10004804,2016-11-28,82,6,37
257,US-2016-159982,DR-12880,OFF-ST-10001590,2016-11-28,53,6,37
258,US-2016-159982,DR-12880,TEC-PH-10001580,2016-11-28,647,6,37
259,CA-2018-163139,CC-12670,TEC-AC-10000290,2018-12-01,20,2,30
260,CA-2018-163139,CC-12670,OFF-ST-10002790,2018-12-01,221,2,30
261,CA-2018-163139,CC-12670,OFF-BI-10003460,2018-12-01,17,2,30
262,US-2018-155299,Dl-13600,OFF-AP-10002203,2018-06-08,1,4,90
263,US-2015-106992,SB-20290,TEC-MA-10000822,2015-09-19,3059,2,67
264,US-2015-106992,SB-20290,TEC-MA-10003353,2015-09-19,2519,2,67
265,CA-2017-125318,RC-19825,TEC-PH-10001433,2017-06-06,328,7,27
266,CA-2016-155040,AH-10210,TEC-AC-10004469,2016-11-10,79,5,91
267,CA-2018-136826,CB-12535,OFF-AR-10003602,2018-06-16,14,4,92
268,CA-2017-111010,PG-18895,OFF-FA-10003472,2017-01-22,7,6,93
269,US-2018-145366,CA-12310,OFF-ST-10004180,2018-12-09,37,4,94
270,US-2018-145366,CA-12310,OFF-EN-10004386,2018-12-09,57,4,94
271,CA-2018-163979,KH-16690,OFF-ST-10003208,2018-12-28,725,5,95
272,CA-2016-155334,HA-14920,TEC-AC-10003628,2016-07-30,209,1,10
273,CA-2016-155334,HA-14920,FUR-FU-10003274,2016-07-30,5,1,10
274,CA-2016-155334,HA-14920,OFF-BI-10002557,2016-07-30,10,1,10
275,CA-2018-118136,BB-10990,OFF-PA-10002615,2018-09-16,8,1,96
276,CA-2018-118136,BB-10990,OFF-AR-10001427,2018-09-16,5,1,96
277,CA-2018-132976,AG-10495,OFF-PA-10000673,2018-10-13,11,4,12
278,CA-2018-132976,AG-10495,OFF-PA-10004470,2018-10-13,18,4,12
279,CA-2018-132976,AG-10495,OFF-ST-10000876,2018-10-13,59,4,12
280,CA-2018-132976,AG-10495,OFF-LA-10002043,2018-10-13,24,4,12
281,US-2016-161991,SC-20725,OFF-BI-10004967,2016-09-26,2,2,33
282,US-2016-161991,SC-20725,TEC-PH-10001760,2016-09-26,1114,2,33
283,CA-2016-130890,JO-15280,FUR-TA-10002903,2016-11-02,1038,4,26
284,CA-2016-130883,TB-21520,OFF-PA-10000474,2016-09-26,141,6,41
285,CA-2016-130883,TB-21520,TEC-AC-10001956,2016-09-26,239,6,41
286,CA-2016-130883,TB-21520,OFF-PA-10004100,2016-09-26,31,6,41
287,CA-2017-112697,AH-10195,OFF-BI-10000778,2017-12-18,254,2,97
288,CA-2017-112697,AH-10195,OFF-AP-10002684,2017-12-18,194,2,97
289,CA-2017-112697,AH-10195,OFF-SU-10000646,2017-12-18,961,2,97
290,CA-2017-110772,NZ-18565,OFF-FA-10002983,2017-11-20,19,4,48
291,CA-2017-110772,NZ-18565,OFF-LA-10004689,2017-11-20,18,4,48
292,CA-2017-110772,NZ-18565,TEC-AC-10002001,2017-11-20,255,4,48
293,CA-2017-110772,NZ-18565,FUR-BO-10004709,2017-11-20,86,4,48
294,CA-2015-111451,KL-16555,FUR-FU-10004091,2015-12-26,300,2,98
295,CA-2015-111451,KL-16555,FUR-CH-10001891,2015-12-26,230,2,98
296,CA-2015-111451,KL-16555,FUR-FU-10002918,2015-12-26,218,2,98
297,CA-2015-111451,KL-16555,OFF-BI-10004593,2015-12-26,78,2,98
298,CA-2015-111451,KL-16555,OFF-FA-10004854,2015-12-26,27,2,98
299,CA-2017-142545,JD-15895,OFF-PA-10002105,2017-10-28,32,6,99
300,CA-2017-142545,JD-15895,OFF-ST-10002756,2017-10-28,1082,6,99
301,CA-2017-142545,JD-15895,OFF-PA-10004243,2017-10-28,56,6,99
302,CA-2017-142545,JD-15895,FUR-FU-10001861,2017-10-28,77,6,99
303,CA-2017-142545,JD-15895,OFF-BI-10002706,2017-10-28,14,6,99
304,US-2018-152380,JH-15910,FUR-TA-10002533,2018-11-19,219,4,37
305,CA-2016-144253,AS-10225,FUR-FU-10002671,2016-05-04,26,5,24
306,CA-2015-130960,KB-16600,OFF-AR-10003651,2015-12-30,9,5,100
307,CA-2015-111003,CR-12625,OFF-BI-10001072,2015-06-01,45,5,101
308,CA-2015-111003,CR-12625,OFF-AR-10002135,2015-06-01,289,5,101
309,CA-2018-126774,SH-20395,OFF-AR-10002804,2018-04-15,4,2,102
310,CA-2017-142902,BP-11185,FUR-FU-10001918,2017-09-12,15,2,103
311,CA-2017-142902,BP-11185,FUR-CH-10004086,2017-09-12,466,2,103
312,CA-2017-142902,BP-11185,FUR-FU-10001756,2017-09-12,15,2,103
313,CA-2017-142902,BP-11185,OFF-LA-10000634,2017-09-12,6,2,103
314,CA-2015-120887,TS-21205,FUR-FU-10001588,2015-09-27,87,6,104
315,CA-2015-167850,AG-10525,TEC-PH-10002398,2015-08-09,178,7,105
316,CA-2015-167850,AG-10525,OFF-PA-10001937,2015-08-09,15,7,105
317,CA-2015-164259,SP-20860,OFF-AR-10003373,2015-12-28,99,2,106
318,CA-2015-164973,NM-18445,FUR-CH-10002602,2015-11-04,135,5,24
319,CA-2015-164973,NM-18445,TEC-MA-10002927,2015-11-04,3991,5,24
320,CA-2015-164973,NM-18445,TEC-PH-10004093,2015-11-04,275,5,24
321,CA-2015-164973,NM-18445,TEC-AC-10000892,2015-11-04,360,5,24
322,CA-2015-164973,NM-18445,OFF-ST-10002974,2015-11-04,43,5,24
323,CA-2015-156601,FA-14230,OFF-FA-10000624,2015-09-19,7,5,107
324,CA-2017-162138,GK-14620,OFF-BI-10004593,2017-04-23,251,4,108
325,CA-2017-162138,GK-14620,TEC-AC-10001908,2017-04-23,99,4,108
326,CA-2018-153339,DJ-13510,FUR-FU-10001967,2018-11-03,15,2,109
327,US-2017-141544,PO-18850,TEC-PH-10003645,2017-08-30,290,2,106
328,US-2017-141544,PO-18850,OFF-ST-10000675,2017-08-30,54,2,106
329,US-2017-141544,PO-18850,FUR-CH-10003312,2017-08-30,786,2,106
330,US-2017-141544,PO-18850,OFF-LA-10001074,2017-08-30,100,2,106
331,US-2017-141544,PO-18850,OFF-BI-10001524,2017-08-30,37,2,106
332,US-2017-150147,JL-15850,TEC-PH-10004614,2017-04-25,82,4,64
333,US-2017-150147,JL-15850,OFF-BI-10001153,2017-04-25,20,4,64
334,US-2017-150147,JL-15850,OFF-BI-10001982,2017-04-25,4,4,64
335,CA-2016-137946,DB-13615,OFF-BI-10001922,2016-09-01,4,3,63
336,CA-2016-137946,DB-13615,TEC-CO-10001449,2016-09-01,959,3,63
337,CA-2016-137946,DB-13615,OFF-BI-10004140,2016-09-01,14,3,63
338,CA-2015-129924,AC-10420,OFF-BI-10003314,2015-07-12,7,5,35
339,CA-2015-129924,AC-10420,FUR-TA-10004575,2015-07-12,698,5,35
340,CA-2016-128167,KL-16645,OFF-FA-10000490,2016-06-22,4,4,110
